gvkey	gvkey_old	conm	tic	cusip	cik	sic	naics	LINKPRIM	LIID	LINKTYPE	LPERMNO	LPERMCO	LINKDT	LINKENDDT	ticker
1263	1263	ALGOMA STEEL GROUP INC	ASTL	015658107	1860805	3312	331110.0	P	01	LC	81765	28041	1995-07-14	2000-11-30	astlw
1266	1266	ALICO INC	ALCO	016230104	3545	100	111310.0	P	01	LU	11790	153	1972-12-14	E	alco
1300	1300	HONEYWELL INTERNATIONAL INC	HON	438516106	773840	9997	999977.0	P	01	LC	10145	22168	1962-01-31	E	hon
1300	1300	HONEYWELL INTERNATIONAL INC	HON	438516106	773840	9997	999977.0	C	00X	LC	10145	22168	1950-01-01	1962-01-30	hon
1327	1327	SKYWORKS SOLUTIONS INC	SWKS	83088M102	4127	3674	334413.0	P	01	LU	45911	20058	1968-03-13	E	swks
1380	1380	HESS CORP	HES	42809H107	4447	1311	2111.0	P	01	LC	28484	20064	1964-03-31	E	hes
1393	1393	U-HAUL HOLDING CO	UHAL	023586100	4457	7510	532120.0	P	01	LU	81073	30020	1994-11-03	E	uhal
1393	1393	U-HAUL HOLDING CO	UHAL	023586100	4457	7510	532120.0	J	05	LC	23505	30020	2022-11-10	E	uhal
1410	1410	ABM INDUSTRIES INC	ABM	000957100	771497	7340	561720.0	P	01	LU	47730	20068	1969-02-13	E	abm
1414	1414	PRIMERICA INC	PRI	74164M108	1475922	6311	524113.0	P	02	LC	93330	53383	2010-04-01	E	pri
1414	1414	PRIMERICA INC	PRI	74164M108	1475922	6311	524113.0	P	01	LC	10241	22177	1962-01-31	1988-12-15	pri
1414	1414	PRIMERICA INC	PRI	74164M108	1475922	6311	524113.0	C	00X	LC	10241	22177	1950-01-01	1962-01-30	pri
1439	1439	US ECOLOGY INC	ECOL	91734M103	1783400	4955	562211.0	P	01	LC	12758	7019	1984-05-09	2022-05-31	
1440	1440	AMERICAN ELECTRIC POWER CO	AEP	025537101	4904	4911	2211.0	C	00X	LC	24109	20077	1951-01-01	1962-01-30	aep
1440	1440	AMERICAN ELECTRIC POWER CO	AEP	025537101	4904	4911	2211.0	C	00X	LC	24109	20077	1951-01-01	1962-01-30	aeppz
1440	1440	AMERICAN ELECTRIC POWER CO	AEP	025537101	4904	4911	2211.0	P	01	LC	24109	20077	1962-01-31	E	aep
1440	1440	AMERICAN ELECTRIC POWER CO	AEP	025537101	4904	4911	2211.0	P	01	LC	24109	20077	1962-01-31	E	aeppz
1447	1447	AMERICAN EXPRESS CO	AXP	025816109	4962	6141	522210.0	C	01	LU	59176	90	1972-12-14	E	axp
1449	1449	AFLAC INC	AFL	001055102	4977	6321	524114.0	P	01	LU	57904	92	1973-08-23	E	afl
1487	1487	AMERICAN INTERNATIONAL GROUP	AIG	026874784	5272	6331	524126.0	P	01	LC	66800	137	1972-12-14	E	aig
1487	1487	AMERICAN INTERNATIONAL GROUP	AIG	026874784	5272	6331	524126.0	P	01	LC	66800	137	1972-12-14	E	aig-pa
1559	1559	AMERICAN SHARED HSPTL SERV	AMS	029595105	744825	8090	621999.0	P	01	LU	13769	7119	1984-07-03	E	ams
1562	1562	LOGILITY SPPLY CHAIN SOL INC	LGTY	029683109	713425	7372	513210.0	P	01	LU	13777	5828	1983-02-28	E	amswa
1585	1585	AMERICAN VANGUARD CORP	AVD	030371108	5981	2870	325320.0	P	01	LU	11144	9002	1987-03-02	E	avd
1598	1598	AMETEK INC	AME	031100100	1037868	3823	334513.0	P	01	LC	10460	20188	1962-01-31	1997-07-31	ame
1598	1598	AMETEK INC	AME	031100100	1037868	3823	334513.0	C	00X	LC	10460	20188	1950-01-01	1962-01-30	ame
1598	1598	AMETEK INC	AME	031100100	1037868	3823	334513.0	P	01	LC	85257	32054	1997-08-08	E	ame
1602	1602	AMGEN INC	AMGN	031162100	318154	2836	325414.0	P	01	LU	14008	216	1983-06-17	E	amgn
1613	1613	AMPCO-PITTSBURGH CORP	AP	032037103	6176	3312	331110.0	C	00X	LU	18075	20192	1960-01-01	1965-12-30	ap
1613	1613	AMPCO-PITTSBURGH CORP	AP	032037103	6176	3312	331110.0	C	00X	LU	18075	20192	1960-01-01	1965-12-30	ap-wt
1613	1613	AMPCO-PITTSBURGH CORP	AP	032037103	6176	3312	331110.0	P	01	LU	18075	20192	1965-12-31	E	ap
1613	1613	AMPCO-PITTSBURGH CORP	AP	032037103	6176	3312	331110.0	P	01	LU	18075	20192	1965-12-31	E	ap-wt
1632	1632	ANALOG DEVICES INC	ADI	032654105	6281	3674	334413.0	P	01	LC	60871	282	1972-12-14	E	adi
1633	1633	ANALOGIC CORP	ALOG	032657207	6284	3845	334510.0	C	01	LU	14198	173	1972-12-14	2018-06-29	
1659	1659	ANDERSONS INC	ANDE	034164103	821026	5150	424510.0	P	01	LU	83112	14382	1996-02-20	E	ande
1661	1661	NABORS INDUSTRIES LTD	NBR	G6359F137	1163739	1381	213111.0	P	01	LC	29102	20201	1968-01-31	E	nbr
1661	1661	NABORS INDUSTRIES LTD	NBR	G6359F137	1163739	1381	213111.0	P	01	LC	29102	20201	1968-01-31	E	nbrwf
1678	1678	APA CORP	APA	03743Q108	1841666	1311	2111.0	P	01	LC	39490	20204	1964-01-31	E	apa
1686	1686	APOGEE ENTERPRISES INC	APOG	037598109	6845	3442	332321.0	P	01	LU	14526	317	1973-01-31	E	apog
1690	1690	APPLE INC	AAPL	037833100	320193	3663	334220.0	P	01	LU	14593	7	1980-12-12	E	aapl
1704	1704	APPLIED MATERIALS INC	AMAT	038222105	6951	3559	333242.0	P	01	LU	14702	194	1972-12-14	E	amat
1706	1706	ENERPAC TOOL GROUP CORP	EPAC	292765104	6955	3533	333132.0	P	01	LC	11581	323	1987-08-05	E	epac
1712	1712	TRECORA RESOURCES	TREC	894648104	7039	2911	324110.0	C	01	LU	14761	352	1976-01-30	2022-06-30	
1712	1712	TRECORA RESOURCES	TREC	894648104	7039	2911	324110.0	C	00X	LC	14761	352	1976-01-01	1976-01-29	
1722	1722	ARCHER-DANIELS-MIDLAND CO	ADM	039483102	7084	2070	31122.0	C	00X	LC	10516	20207	1949-07-01	1962-01-30	adm
1722	1722	ARCHER-DANIELS-MIDLAND CO	ADM	039483102	7084	2070	31122.0	P	01	LC	10516	20207	1962-01-31	E	adm
1743	1743	ARCBEST CORP	ARCB	03937C105	894405	4213	484122.0	C	02	LC	48004	24975	1969-03-18	1988-07-25	arcb
1743	1743	ARCBEST CORP	ARCB	03937C105	894405	4213	484122.0	C	02	LC	77595	11512	1992-05-13	E	arcb
1773	1773	ARROW ELECTRONICS INC	ARW	042735100	7536	5065	423690.0	P	01	LU	29209	20217	1966-04-29	E	arw
1794	1794	ASHLAND INC	ASH	044186104	1674862	2820	3252.0	P	01	LC	24272	20222	1962-01-31	E	ash
1820	1820	ASTRONOVA INC	ALOT	04638F108	8146	3577	334118.0	P	01	LU	15537	5225	1981-12-08	E	alot
1823	1823	ASTRONICS CORP	ATRO	046433108	8063	3640	336320.0	P	01	LU	15457	397	1978-11-30	E	atro
1823	1823	ASTRONICS CORP	ATRO	046433108	8063	3640	336320.0	P	01	LU	15457	397	1978-11-30	E	atrob
1823	1823	ASTRONICS CORP	ATRO	046433108	8063	3640	336320.0	C	00X	LU	15457	397	1974-01-01	1978-11-29	atro
1823	1823	ASTRONICS CORP	ATRO	046433108	8063	3640	336320.0	C	00X	LU	15457	397	1974-01-01	1978-11-29	atrob
1864	1864	REX AMERICAN RESOURCES CORP	REX	761624105	744187	2860	325193.0	P	01	LU	68830	7135	1984-07-17	E	rex
1878	1878	AUTODESK INC	ADSK	052769106	769397	7370	519290.0	P	01	LU	85631	7623	1985-07-31	E	adsk
1891	1891	AUTOMATIC DATA PROCESSING	ADP	053015103	8670	7374	518210.0	P	01	LC	44644	20235	1967-06-26	E	adp
1906	1906	A V HOMES INC	AVHI.1	00234P102	39677	1531	236117.0	P	01	LU	16030	421	1981-07-31	2018-10-31	
1913	1913	AVERY DENNISON CORP	AVY	053611109	8818	2670	322220.0	P	01	LU	44601	20238	1967-06-20	E	avy
1919	1919	AVNET INC	AVT	053807103	8858	5065	423690.0	P	01	LU	27684	20239	1962-01-31	E	avt
1920	1920	AVON PRODUCTS	AVP	054303102	8868	2844	325620.0	P	01	LU	40416	20240	1964-04-20	2020-01-31	
1926	1926	AZZ INC	AZZ	002474104	8947	3470	33281.0	P	01	LU	16126	430	1973-03-30	E	azz
1926	1926	AZZ INC	AZZ	002474104	8947	3470	33281.0	C	00X	LU	16126	430	1973-03-01	1973-03-29	azz
1932	1932	BRITISH AMER TOBACCO PLC	BTI	110448107	1303523	2111	312230.0	P	90	LC	59504	20243	1976-12-21	E	bti
1932	1932	BRITISH AMER TOBACCO PLC	BTI	110448107	1303523	2111	312230.0	P	90	LC	59504	20243	1976-12-21	E	btaff
1949	1949	BRT APARTMENTS CORP	BRT	055645303	14846	6798	531110.0	P	01	LU	56856	20247	1973-05-23	E	brt
1968	1968	BADGER METER INC	BMI	056525108	9092	3824	334514.0	C	01	LU	53110	20250	1971-08-31	E	bmi
1979	1979	BALCHEM CORP  -CL B	BCPC	057665200	9326	2860	325199.0	C	01	LU	10318	8237	1986-06-03	E	bcpc
1982	1982	PROTECTIVE INSURANCE CORP	PTVCB	74368L203	9346	6331	524126.0	P	02	LC	10239	714	1993-09-01	2021-06-30	
1982	1982	PROTECTIVE INSURANCE CORP	PTVCB	74368L203	9346	6331	524126.0	P	01	LC	16417	714	1972-12-14	1993-08-31	
1982	1982	PROTECTIVE INSURANCE CORP	PTVCB	74368L203	9346	6331	524126.0	J	02	LC	10239	714	1986-05-09	1993-08-31	
1982	1982	PROTECTIVE INSURANCE CORP	PTVCB	74368L203	9346	6331	524126.0	J	01	LC	16417	714	1993-09-01	2021-06-30	
1988	1988	BALL CORP	BALL	058498106	9389	3411	332431.0	P	01	LU	57568	20257	1972-12-14	E	ball
2002	2002	POPULAR INC	BPOP	733174700	763901	6020	522110.0	P	01	LC	16513	623	1972-12-14	1990-12-31	bpop
2002	2002	POPULAR INC	BPOP	733174700	763901	6020	522110.0	P	01	LC	16513	623	1972-12-14	1990-12-31	bpopo
2002	2002	POPULAR INC	BPOP	733174700	763901	6020	522110.0	P	01	LC	16513	623	1972-12-14	1990-12-31	bpopm
2002	2002	POPULAR INC	BPOP	733174700	763901	6020	522110.0	P	01	LC	16505	475	1991-01-02	E	bpop
2002	2002	POPULAR INC	BPOP	733174700	763901	6020	522110.0	P	01	LC	16505	475	1991-01-02	E	bpopo
2002	2002	POPULAR INC	BPOP	733174700	763901	6020	522110.0	P	01	LC	16505	475	1991-01-02	E	bpopm
2005	2005	BANK OF HAWAII CORP	BOH	062540109	46195	6020	522110.0	C	01	LU	16548	589	1972-12-14	E	boh
2005	2005	BANK OF HAWAII CORP	BOH	062540109	46195	6020	522110.0	C	01	LU	16548	589	1972-12-14	E	boh-pa
2019	2019	BANK OF NEW YORK MELLON CORP	BK	064058100	1390777	6020	522110.0	P	01	LC	49656	20265	1969-12-04	E	bk
2049	2049	BARNES GROUP INC	B	067806109	9984	3490	332613.0	P	01	LU	39693	20270	1963-10-14	E	b
2055	2055	BARRICK GOLD CORP	GOLD	067901108	756894	1040	212221.0	P	01	LU	71298	20065	1985-02-01	E	gold
2086	2086	BAXTER INTERNATIONAL INC	BAX	071813109	10456	3841	339112.0	P	01	LC	27887	20277	1962-01-31	E	bax
2101	2101	APPLIED INDUSTRIAL TECH INC	AIT	03820C105	109563	5080	423830.0	P	02	LU	29612	20283	1962-07-02	E	ait
2111	2111	BECTON DICKINSON & CO	BDX	075887109	10795	3841	339112.0	P	01	LU	39642	20284	1963-09-25	E	bdx
2111	2111	BECTON DICKINSON & CO	BDX	075887109	10795	3841	339112.0	P	01	LU	39642	20284	1963-09-25	E	bdxb
2124	2124	BEL FUSE INC	BELFB	077347300	729580	3677	334416.0	J	03	LC	86242	6653	1998-07-10	1999-12-31	belfa
2124	2124	BEL FUSE INC	BELFB	077347300	729580	3677	334416.0	J	03	LC	86242	6653	1998-07-10	1999-12-31	belfb
2124	2124	BEL FUSE INC	BELFB	077347300	729580	3677	334416.0	J	01	LC	17444	6653	2000-01-01	E	belfa
2124	2124	BEL FUSE INC	BELFB	077347300	729580	3677	334416.0	J	01	LC	17444	6653	2000-01-01	E	belfb
2124	2124	BEL FUSE INC	BELFB	077347300	729580	3677	334416.0	P	01	LC	17444	6653	1983-12-06	1999-12-31	belfa
2124	2124	BEL FUSE INC	BELFB	077347300	729580	3677	334416.0	P	01	LC	17444	6653	1983-12-06	1999-12-31	belfb
2124	2124	BEL FUSE INC	BELFB	077347300	729580	3677	334416.0	P	03	LC	86242	6653	2000-01-01	E	belfa
2124	2124	BEL FUSE INC	BELFB	077347300	729580	3677	334416.0	P	03	LC	86242	6653	2000-01-01	E	belfb
2136	2136	VERIZON COMMUNICATIONS INC	VZ	92343V104	732712	4812	517312.0	P	01	LC	65875	20288	1983-11-30	E	vz
2137	2137	BCE INC	BCE	05534B760	718940	4813	517311.0	P	01	LC	29647	20245	1976-08-18	E	bce
2154	2154	BEMIS CO INC	BMS	081437105	11199	2670	326112.0	P	01	LU	43772	20292	1966-09-13	2019-06-28	
2184	2184	BEST BUY CO INC	BBY	086516101	764478	5731	449210.0	P	01	LU	85914	7506	1985-05-31	E	bby
2220	2220	BIO-RAD LABORATORIES INC	BIO	090572207	12208	3826	334516.0	N	02	LC	61508	655	1982-01-29	E	bio
2220	2220	BIO-RAD LABORATORIES INC	BIO	090572207	12208	3826	334516.0	N	02	LC	61508	655	1982-01-29	E	bio-b
2220	2220	BIO-RAD LABORATORIES INC	BIO	090572207	12208	3826	334516.0	P	01	LC	61516	655	1982-01-29	E	bio
2220	2220	BIO-RAD LABORATORIES INC	BIO	090572207	12208	3826	334516.0	P	01	LC	61516	655	1982-01-29	E	bio-b
2220	2220	BIO-RAD LABORATORIES INC	BIO	090572207	12208	3826	334516.0	P	01	LC	61508	655	1974-10-18	1982-01-28	bio
2220	2220	BIO-RAD LABORATORIES INC	BIO	090572207	12208	3826	334516.0	P	01	LC	61508	655	1974-10-18	1982-01-28	bio-b
2259	2259	BLACK HILLS CORP	BKH	092113109	1130464	4923	221210.0	P	01	LC	61946	511	1972-12-14	E	bkh
2269	2269	BLOCK H & R INC	HRB	093671105	12659	7200	541213.0	P	01	LU	49373	20309	1969-10-13	E	hrb
2270	2270	VALARIS LIMITED	VAL	G9460G101	314808	1381	213111.0	P	01	LC	62519	559	1980-02-28	2009-12-22	val
2270	2270	VALARIS LIMITED	VAL	G9460G101	314808	1381	213111.0	P	01	LC	62519	559	1980-02-28	2009-12-22	val-wt
2270	2270	VALARIS LIMITED	VAL	G9460G101	314808	1381	213111.0	P	01	LC	93159	53296	2012-05-22	2020-08-17	val
2270	2270	VALARIS LIMITED	VAL	G9460G101	314808	1381	213111.0	P	01	LC	93159	53296	2012-05-22	2020-08-17	val-wt
2270	2270	VALARIS LIMITED	VAL	G9460G101	314808	1381	213111.0	P	03	LC	21257	58272	2021-05-03	E	val
2270	2270	VALARIS LIMITED	VAL	G9460G101	314808	1381	213111.0	P	03	LC	21257	58272	2021-05-03	E	val-wt
2270	2270	VALARIS LIMITED	VAL	G9460G101	314808	1381	213111.0	P	01	LC	19661	53296	2009-12-23	2012-05-21	val
2270	2270	VALARIS LIMITED	VAL	G9460G101	314808	1381	213111.0	P	01	LC	19661	53296	2009-12-23	2012-05-21	val-wt
2285	2285	BOEING CO	BA	097023105	12927	3721	336411.0	P	01	LU	19561	20315	1962-01-31	E	ba
2285	2285	BOEING CO	BA	097023105	12927	3721	336411.0	C	00X	LU	19561	20315	1950-01-01	1962-01-30	ba
2312	2312	ROBERT HALF INC	RHI	770323103	315213	7363	561320.0	C	01	LU	52230	469	1971-04-15	E	rhi
2316	2316	HEXION INC	0141A	60899Z001	13239	2821	325211.0	P	01	LC	16571	20320	1962-01-31	1995-03-14	
2316	2316	HEXION INC	0141A	60899Z001	13239	2821	325211.0	C	00X	LC	16571	20320	1950-01-01	1962-01-30	
2337	2337	RESOLUTE FOREST PRODUCTS INC	RFP	76117W109	1393066	2621	322121.0	P	01	LC	66130	20325	1984-05-18	2009-04-15	rfp
2337	2337	RESOLUTE FOREST PRODUCTS INC	RFP	76117W109	1393066	2621	322121.0	P	05	LC	12437	20325	2010-12-20	2023-03-31	rfp
2352	2352	BRADY CORP	BRC	104674106	746598	3990	339950.0	P	01	LU	18973	7113	1984-06-28	E	brc
2369	2369	BROOKFIELD CORP	BN	11271J107	1001085	6200	523.0	C	01	LC	29807	20328	1979-09-29	1997-08-08	bam
2369	2369	BROOKFIELD CORP	BN	11271J107	1001085	6200	523.0	C	01	LC	29807	20328	1979-09-29	1997-08-08	bamgf
2369	2369	BROOKFIELD CORP	BN	11271J107	1001085	6200	523.0	C	01	LC	29807	20328	1979-09-29	1997-08-08	bxdif
2369	2369	BROOKFIELD CORP	BN	11271J107	1001085	6200	523.0	C	01	LC	29807	20328	1979-09-29	1997-08-08	bamh
2369	2369	BROOKFIELD CORP	BN	11271J107	1001085	6200	523.0	C	01	LC	29807	20328	1979-09-29	1997-08-08	bami
2369	2369	BROOKFIELD CORP	BN	11271J107	1001085	6200	523.0	C	01	LC	85259	32056	1997-08-09	E	bam
2369	2369	BROOKFIELD CORP	BN	11271J107	1001085	6200	523.0	C	01	LC	85259	32056	1997-08-09	E	bamgf
2369	2369	BROOKFIELD CORP	BN	11271J107	1001085	6200	523.0	C	01	LC	85259	32056	1997-08-09	E	bxdif
2369	2369	BROOKFIELD CORP	BN	11271J107	1001085	6200	523.0	C	01	LC	85259	32056	1997-08-09	E	bamh
2369	2369	BROOKFIELD CORP	BN	11271J107	1001085	6200	523.0	C	01	LC	85259	32056	1997-08-09	E	bami
2393	2393	BRIGGS & STRATTON	BGGSQ	109043109	14195	3510	333618.0	P	01	LU	17961	20330	1962-01-31	2021-01-07	
2393	2393	BRIGGS & STRATTON	BGGSQ	109043109	14195	3510	333618.0	C	00X	LU	17961	20330	1950-01-01	1962-01-30	
2403	2403	BRISTOL-MYERS SQUIBB CO	BMY	110122108	14272	2834	325412.0	P	01	LU	19393	20331	1962-01-31	E	bmy
2403	2403	BRISTOL-MYERS SQUIBB CO	BMY	110122108	14272	2834	325412.0	P	01	LU	19393	20331	1962-01-31	E	bmymp
2403	2403	BRISTOL-MYERS SQUIBB CO	BMY	110122108	14272	2834	325412.0	P	01	LU	19393	20331	1962-01-31	E	celg-ri
2403	2403	BRISTOL-MYERS SQUIBB CO	BMY	110122108	14272	2834	325412.0	C	00X	LU	19393	20331	1950-01-01	1962-01-30	bmy
2403	2403	BRISTOL-MYERS SQUIBB CO	BMY	110122108	14272	2834	325412.0	C	00X	LU	19393	20331	1950-01-01	1962-01-30	bmymp
2403	2403	BRISTOL-MYERS SQUIBB CO	BMY	110122108	14272	2834	325412.0	C	00X	LU	19393	20331	1950-01-01	1962-01-30	celg-ri
2408	2408	TELUS CORP	TU	87971M103	868675	4812	517312.0	P	01	LC	13786	40157	2013-02-04	E	tu
2408	2408	TELUS CORP	TU	87971M103	868675	4812	517312.0	J	02	LC	88658	40157	2013-02-01	2013-02-01	tu
2408	2408	TELUS CORP	TU	87971M103	868675	4812	517312.0	P	02	LC	88658	40157	2000-10-17	2013-01-31	tu
2410	2410	BP PLC	BP	055622104	313807	2911	324110.0	P	90	LU	29890	20333	1962-07-02	E	bp
2410	2410	BP PLC	BP	055622104	313807	2911	324110.0	P	90	LU	29890	20333	1962-07-02	E	bpaqf
2411	2411	BT GROUP PLC	BTY10	05577E101	756620	4813	517311.0	P	90	LU	66835	20336	1984-12-03	2019-09-30	btgof
2435	2435	BROWN FORMAN CORP	BF.B	115637209	14693	2085	312140.0	P	01	LU	29946	20340	1962-07-02	E	bf-a
2435	2435	BROWN FORMAN CORP	BF.B	115637209	14693	2085	312140.0	P	01	LU	29946	20340	1962-07-02	E	bf-b
2435	2435	BROWN FORMAN CORP	BF.B	115637209	14693	2085	312140.0	J	02	LU	29938	20340	1982-01-29	E	bf-a
2435	2435	BROWN FORMAN CORP	BF.B	115637209	14693	2085	312140.0	J	02	LU	29938	20340	1982-01-29	E	bf-b
2436	2436	CALERES INC	CAL	129500104	14707	5661	458210.0	C	00X	LU	10866	20342	1949-11-01	1962-01-30	cal
2436	2436	CALERES INC	CAL	129500104	14707	5661	458210.0	P	01	LU	10866	20342	1962-01-31	E	cal
2444	2444	BRUNSWICK CORP	BC	117043109	14930	3510	333618.0	C	00X	LU	10874	20344	1950-01-01	1962-01-30	bc
2444	2444	BRUNSWICK CORP	BC	117043109	14930	3510	333618.0	C	00X	LU	10874	20344	1950-01-01	1962-01-30	bc-pa
2444	2444	BRUNSWICK CORP	BC	117043109	14930	3510	333618.0	C	00X	LU	10874	20344	1950-01-01	1962-01-30	bc-pb
2444	2444	BRUNSWICK CORP	BC	117043109	14930	3510	333618.0	C	00X	LU	10874	20344	1950-01-01	1962-01-30	bc-pc
2444	2444	BRUNSWICK CORP	BC	117043109	14930	3510	333618.0	P	01	LU	10874	20344	1962-01-31	E	bc
2444	2444	BRUNSWICK CORP	BC	117043109	14930	3510	333618.0	P	01	LU	10874	20344	1962-01-31	E	bc-pa
2444	2444	BRUNSWICK CORP	BC	117043109	14930	3510	333618.0	P	01	LU	10874	20344	1962-01-31	E	bc-pb
2444	2444	BRUNSWICK CORP	BC	117043109	14930	3510	333618.0	P	01	LU	10874	20344	1962-01-31	E	bc-pc
2448	2448	MATERION CORP	MTRN	576690101	1104657	3330	331410.0	P	01	LC	55597	20345	1972-09-21	E	mtrn
2497	2497	MASTEC INC	MTZ	576323109	15615	1623	237130.0	P	01	LU	19880	678	1972-12-14	E	mtz
2504	2504	UNISYS CORP	UIS	909214306	746838	7373	541512.0	P	01	LU	10890	21814	1962-01-31	E	uis
2504	2504	UNISYS CORP	UIS	909214306	746838	7373	541512.0	C	00X	LU	10890	21814	1950-01-01	1962-01-30	uis
2519	2519	BUTLER NATIONAL CORP	BUKS	123720104	15847	8741	561110.0	C	01	LU	20002	710	1972-12-14	1999-01-20	buks
2526	2526	CAE INC	CAE	124765108	1173382	3690	333318.0	P	01	LC	89462	43339	2002-07-29	E	cae
2536	2536	LIVERAMP HOLDINGS INC	RAMP	53815P108	733269	7370	519290.0	P	01	LC	20117	6702	1984-01-31	E	ramp
2547	2547	CIGNA GROUP (THE)	CI	125523100	1739940	6324	524114.0	P	01	LC	64186	20357	1982-04-20	E	ci
2547	2547	CIGNA GROUP (THE)	CI	125523100	1739940	6324	524114.0	P	01	LC	59221	857	1972-12-14	1982-03-31	ci
2556	2556	CSS INDUSTRIES INC	CSS	125906107	20629	2670	322220.0	P	01	LU	67838	20362	1985-09-30	2020-03-31	
2558	2558	CNA FINANCIAL CORP	CNA	126117100	21175	6331	524126.0	C	00X	LC	47626	20363	1972-01-01	1972-01-30	cna
2558	2558	CNA FINANCIAL CORP	CNA	126117100	21175	6331	524126.0	P	01	LC	47626	20363	1972-01-31	E	cna
2573	2573	CSP INC	CSPI	126389105	356037	7373	541512.0	P	01	LU	20336	5286	1982-01-29	E	cspi
